PMID,year,journal,title,sentence_count,species_context,genes,themes
35850632,2022,BMC plant biology,MicroRNA-mediated host defense mechanisms against pathogens and herbivores in rice: balancing gains from genetic resistance with trade-offs to productivity potential.,1,BPH,OsF3H,激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35635977,2022,Biosensors & bioelectronics,De novo profiling of insect-resistant proteins of rice via nanopore peptide differentiation.,1,,Bph32,
36361593,2022,International journal of molecular sciences,Introgression of a Complex Genomic Structural Variation Causes Hybrid Male Sterility in GJ Rice (Oryza sativa L.) Subspecies.,1,,Bph3,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
35683002,2022,International journal of molecular sciences,A TIR-NBS-LRR Gene MdTNL1 Regulates Resistance to Glomerella Leaf Spot in Apple.,1,BPH,,
35887156,2022,International journal of molecular sciences,"Characterization of MicroRNAs Associated with Reproduction in the Brown Planthopper, Nilaparvata lugens.",1,BPH,,韧皮部取食界面与结构防御
35497027,2022,Heliyon,The insecticidal capacity of ethanol extract from Cascabela peruviana (L.) Lippold against fruit fly.,1,BPH,,生长防御权衡与农艺环境
35783980,2022,Frontiers in plant science,Fine Mapping and Characterization of an Aphid-Resistance Gene in the Soybean Landrace Fangzheng Moshidou.,1,,Bph14,激素、氧化还原与信号调控;遗传定位、克隆与抗源部署
33677774,2021,"Rice (New York, N.Y.)",RNA-Sequencing Reveals Differentially Expressed Rice Genes Functionally Associated with Defense against BPH and WBPH in RILs Derived from a Cross between RP2068 and TN1.,37,BPH;WBPH,Bph15;Bph6;Bph14;OsF3H;OsGRF8;OsmiR396,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
34884461,2021,International journal of molecular sciences,Overexpression of an Osa-miR162a Derivative in Rice Confers Cross-Kingdom RNA Interference-Mediated Brown Planthopper Resistance without Perturbing Host Development.,28,BPH,Osa-miR162a;Os09g00999;Os18s;OsGRF8,次生代谢与挥发性防御
34564276,2021,Insects,Genome-Wide Association Study Reveals a New Quantitative Trait Locus in Rice Related to Resistance to Brown Planthopper Nilaparvata lugens (Stål).,24,BPH,,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
34067367,2021,"Plants (Basel, Switzerland)",Rice Sesquiterpene Plays Important Roles in Antixenosis against Brown Planthopper in Rice.,20,BPH,OsSTPS2;OsEBFS;OsSTP2,次生代谢与挥发性防御;遗传定位、克隆与抗源部署
34884830,2021,International journal of molecular sciences,Silencing an E3 Ubiquitin Ligase Gene OsJMJ715 Enhances the Resistance of Rice to a Piercing-Sucking Herbivore by Activating ABA and JA Signaling Pathways.,19,BPH,OsJMJ715;OsJMJ715-mediated;OsJMJ715-RNAi,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
34799588,2021,Nature communications,Cooperative herbivory between two important pests of rice.,16,BPH,,次生代谢与挥发性防御;激素、氧化还原与信号调控
33652695,2021,"Plants (Basel, Switzerland)",Both Allene Oxide Synthases Genes Are Involved in the Biosynthesis of Herbivore-Induced Jasmonic Acid and Herbivore Resistance in Rice.,13,BPH,OsAOS1;OsAOS2;OsAOS,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
35087314,2021,Breeding science,"Substitution mapping and characterization of brown planthopper resistance genes from indica rice variety, 'PTB33' (Oryza sativa L.).",13,BPH,Bph17;Bph32;Bph2;Bph18;Bph25;Bph27;Bph29;Bph3;Bph34;Bph4;Bph6;Bph1;Bph40,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
34830062,2021,International journal of molecular sciences,Silencing a Simple Extracellular Leucine-Rich Repeat Gene OsI-BAK1 Enhances the Resistance of Rice to Brown Planthopper Nilaparvata lugens.,11,BPH;WBPH,OsI-BAK1;OsWRKY24;OsWRKY53;OsWRKY70;OsMPK3,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境
34066665,2021,International journal of molecular sciences,A Salivary Odorant-Binding Protein Mediates Nilaparvata lugens Feeding and Host Plant Phytohormone Suppression.,10,BPH,,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;韧皮部取食界面与结构防御
34337676,2021,"Rice (New York, N.Y.)",The Impact of Climate Change on the Resistance of Rice Near-Isogenic Lines with Resistance Genes Against Brown Planthopper.,10,BPH,Bph17;Bph20;Bph26;Bph32;Bph10;Bph3;Bph18;Bph2;Bph21;Bph4;Bph9,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
34193042,2021,BMC plant biology,Transcriptomics identifies key defense mechanisms in rice resistant to both leaf-feeding and phloem feeding herbivores.,9,BPH,Os01g0741200;Os01g0949500;Os01g0955100;Os02g0285300;Os02g0719000;Os04g0492800;Os05g0454200;Os05g0513800;Os06g0683400;Os09g0482800;OsLysM-RLK4;OsWRKY76;Bph14;Bph18;Bph26;Bph29;Bph3,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
34940143,2021,Insects,The Key Glutathione S-Transferase Family Genes Involved in the Detoxification of Rice Gramine in Brown Planthopper Nilaparvata lugens.,9,BPH,,生长防御权衡与农艺环境;韧皮部取食界面与结构防御
34220297,2021,Current genomics,Study on Transcriptional Responses and Identification of Ribosomal Protein Genes for Potential Resistance against Brown Planthopper and Gall Midge Pests in Rice.,8,BPH,OsHPL3,次生代谢与挥发性防御;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署
33917813,2021,Biology,Stress-Induced Changes in Alternative Splicing Landscape in Rice: Functional Significance of Splice Isoforms in Stress Tolerance.,7,BPH;SBPH,,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;韧皮部取食界面与结构防御
34829551,2021,"Antioxidants (Basel, Switzerland)","Over-Expression of Chorismate Mutase Enhances the Accumulation of Salicylic Acid, Lignin, and Antioxidants in Response to the White-Backed Planthopper in Rice Plants.",6,BPH;WBPH,,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
34960733,2021,Viruses,Metatranscriptomic Sequencing Suggests the Presence of Novel RNA Viruses in Rice Transmitted by Brown Planthopper.,6,BPH,Bph3,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
34442311,2021,Insects,"Genome-Wide Analysis of the Amino Acid Auxin Permease (AAAP) Gene Family and Identification of an AAAP Gene Associated with the Growth and Reproduction of the Brown Planthopper, Nilaparvata lugens (Stål).",5,BPH,,韧皮部取食界面与结构防御
33721115,2021,"Rice (New York, N.Y.)",Proteomics and Metabolomics Studies on the Biotic Stress Responses of Rice: an Update.,5,BPH,,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;韧皮部取食界面与结构防御
34680677,2021,Insects,Adaptation by the Brown Planthopper to Resistant Rice: A Test of Female-Derived Virulence and the Role of Yeast-like Symbionts.,5,BPH,Bph1;Bph3;Bph32,宿主免疫、肽信号与昆虫效应子;遗传定位、克隆与抗源部署
34571752,2021,Biology,Intersex Plays a Role in Microbial Homeostasis in the Brown Planthopper.,4,BPH,,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境
33790805,2021,Frontiers in physiology,Antimicrobials Affect the Fat Body Microbiome and Increase the Brown Planthopper Mortality.,4,BPH,,生长防御权衡与农艺环境
33562367,2021,International journal of molecular sciences,Update on the Roles of Rice MAPK Cascades.,4,BPH,OsMAPK3;OsMAPK6;OsRAI1;OsWRKY70;OsMAPKK3;OsMAPKK;OsMAPKs;OsMAPK20-5,激素、氧化还原与信号调控
33547972,2021,"Rice (New York, N.Y.)",Contribution of Small RNA Pathway to Interactions of Rice with Pathogens and Insect Pests.,4,BPH,OsGRF8;OsGRF6;OsGRF7;OsGRF9;OsF3H,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;病毒-媒介-水稻三方互作
34844633,2021,Plant methods,"Improved phenotyping procedure for evaluating resistance in rice against gall midge (Orseolia oryzae, Wood-Mason).",3,BPH,,遗传定位、克隆与抗源部署
33227482,2021,Current opinion in insect science,Genetic and molecular understanding of host rice resistance and Nilaparvata lugens adaptation.,3,BPH,,遗传定位、克隆与抗源部署
34246801,2021,Molecular plant,Bph30 confers resistance to brown planthopper by fortifying sclerenchyma in rice leaf sheaths.,3,BPH,Bph30,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
34821791,2021,Insects,"Nitrogenous Fertilizer Reduces Resistance but Enhances Tolerance to the Brown Planthopper in Fast-Growing, Moderately Resistant Rice.",3,BPH,Bph25;Bph26;Bph1;Bph2;Bph18;Bph5;Bph7;Bph10;Bph6;Bph9,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
34826246,2021,Science advances,A feminizing switch in a hemimetabolous insect.,3,BPH,,
33903626,2021,Scientific reports,"Effects of elevated CO(2) on resistant and susceptible rice cultivar and its primary host, brown planthopper (BPH), Nilaparvata lugens (Stål).",3,BPH;WBPH,,次生代谢与挥发性防御
34680617,2021,Insects,Efficacy and Cost-Effectiveness of Phenotyping for Rice Resistance and Tolerance to Planthoppers.,3,BPH,Bph1;Bph2;Bph32;Bph17;Bph3;Bph10;Bph18,
33420350,2021,Scientific reports,Elevated temperatures diminish the effects of a highly resistant rice variety on the brown planthopper.,3,BPH,Bph32;Bph1;Bph2,宿主免疫、肽信号与昆虫效应子
34302720,2021,Journal of integrative plant biology,Balancing selection and wild gene pool contribute to resistance in global rice germplasm against planthopper.,3,BPH,,遗传定位、克隆与抗源部署
34181658,2021,PLoS genetics,"Neofunctionalization of a second insulin receptor gene in the wing-dimorphic planthopper, Nilaparvata lugens.",2,BPH,,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境
34283216,2021,Journal of experimental botany,Derepression of specific miRNA-target genes in rice using CRISPR/Cas9.,2,BPH,OsGRF4;OsGRF8,
34299353,2021,International journal of molecular sciences,Cuticular Hydrocarbon Plasticity in Three Rice Planthopper Species.,2,BPH;SBPH;WBPH,,生长防御权衡与农艺环境
34792681,2021,"Rice (New York, N.Y.)",Arms and ammunitions: effectors at the interface of rice and it's pathogens and pests.,2,BPH,,宿主免疫、肽信号与昆虫效应子
33800002,2021,Genes,Pleiotropic Roles of the Orthologue of the Drosophila melanogaster Intersex Gene in the Brown Planthopper.,2,BPH,,
34534586,2021,International journal of biological macromolecules,RNA-Seq based global transcriptome analysis of rice unravels the key players associated with brown planthopper resistance.,2,BPH,,生长防御权衡与农艺环境
32940717,2021,Archives of microbiology,The gut bacterial flora associated with brown planthopper is affected by host rice varieties.,2,BPH,,
33836579,2021,Proceedings of the National Academy of Sciences of the United States of America,A class of independently evolved transcriptional repressors in plant RNA viruses facilitates viral infection and vector feeding.,1,SBPH;WBPH,OsMYC3,激素、氧化还原与信号调控;病毒-媒介-水稻三方互作;韧皮部取食界面与结构防御
33719290,2021,Frontiers in plant science,Development and Field Evaluation of Near-Isogenic Lines of GR2-EBRRI dhan29 Golden Rice.,1,BPH,Bph27t,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
33201594,2021,Pest management science,"Development of 'multiresistance rice' by an assembly of herbicide, insect and disease resistance genes with a transgene stacking system.",1,BPH,Bph14;OsLecRK1,遗传定位、克隆与抗源部署
34886808,2021,BMC genomics,Transcriptomic and metabolomic changes triggered by Macrosiphum rosivorum in rose (Rosa longicuspis).,1,BPH,,激素、氧化还原与信号调控
34335311,2021,Frontiers in physiology,Genome-Wide Identification and Characterization of Amino Acid Polyamine Organocation Transporter Family Genes Reveal Their Role in Fecundity Regulation in a Brown Planthopper Species (Nilaparvata lugens).,1,BPH,,遗传定位、克隆与抗源部署
34773509,2021,"Rice (New York, N.Y.)",Identification of an Elite Core Panel as a Key Breeding Resource to Accelerate the Rate of Genetic Improvement for Irrigated Rice.,1,BPH,,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作
33533489,2021,The New phytologist,Molecular dissection of rice phytohormone signaling involved in resistance to a piercing-sucking herbivore.,1,BPH,,
33810819,2021,Proteome science,Label-free quantitative proteomics of Sorghum bicolor reveals the proteins strengthening plant defense against insect pest Chilo partellus.,1,BPH,,
33639242,2021,Insect biochemistry and molecular biology,A lateral oviduct secreted protein plays a vital role for egg movement through the female reproductive tract in the brown planthopper.,1,BPH,,
34874500,2021,"Rice (New York, N.Y.)",Identification of QTL Combinations that Cause Spikelet Sterility in Rice Derived from Interspecific Crosses.,1,,Bph18,遗传定位、克隆与抗源部署
34868099,2021,Frontiers in plant science,"Understanding Heterosis, Genetic Effects, and Genome Wide Associations for Forage Quantity and Quality Traits in Multi-Cut Pearl Millet.",1,BPH,,
33741431,2021,Insect biochemistry and molecular biology,Characterization of gustatory receptor 7 in the brown planthopper reveals functional versatility.,1,BPH,,宿主免疫、肽信号与昆虫效应子
34685978,2021,"Plants (Basel, Switzerland)",The Divergent Roles of the Rice bcl-2 Associated Athanogene (BAG) Genes in Plant Development and Environmental Responses.,1,BPH,OsBAGs,
34571744,2021,Biology,The Genetic Network of Forkhead Gene Family in Development of Brown Planthoppers.,1,BPH,,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;韧皮部取食界面与结构防御
34685817,2021,"Plants (Basel, Switzerland)",Optimized RNA-Silencing Strategies for Rice Ragged Stunt Virus Resistance in Rice.,1,BPH,,病毒-媒介-水稻三方互作
34794392,2021,BMC genomics,Methylome and transcriptome analyses of soybean response to bean pyralid larvae.,1,BPH,OsLecRK,
33368943,2021,Plant biotechnology journal,The CC-NB-LRR OsRLR1 mediates rice disease resistance through interaction with OsWRKY19.,1,,Bph14;OsRLR1;OsWRKY19,
33903715,2021,Scientific reports,Development of a genome-wide InDel marker set for allele discrimination between rice (Oryza sativa) and the other seven AA-genome Oryza species.,1,BPH,,遗传定位、克隆与抗源部署
34645452,2021,Journal of nanobiotechnology,Green synthesis of AgNP-ligand complexes and their toxicological effects on Nilaparvata lugens.,1,BPH,,生长防御权衡与农艺环境
33217583,2021,Journal of proteomics,Transcriptomic and proteomic responses to brown plant hopper (Nilaparvata lugens) in cultivated and Bt-transgenic rice (Oryza sativa) and wild rice (O. rufipogon).,1,BPH,Bph14;Bph33,
34231849,2021,Journal of economic entomology,Salinity Influences Plant-Pest-Predator Tritrophic Interactions.,1,BPH,,遗传定位、克隆与抗源部署
34774681,2021,Genomics,Methylation patterns of Tf2 retrotransposons linked to rapid adaptive stress response in the brown planthopper (Nilaparvata lugens).,1,BPH,,
32935926,2021,Insect science,An InR/mir-9a/NlUbx regulatory cascade regulates wing diphenism in brown planthoppers.,1,BPH,,宿主免疫、肽信号与昆虫效应子
33424241,2021,Journal of plant biology = Singmul Hakhoe chi,OrMKK3 Influences Morphology and Grain Size in Rice.,1,BPH,OsMKK3-mediated,激素、氧化还原与信号调控
33483577,2021,Scientific reports,Transcriptomic responses of Microcystis aeruginosa under electromagnetic radiation exposure.,1,BPH,,
34651397,2021,Plant biotechnology journal,Thinopyrum intermedium TiAP1 interacts with a chitin deacetylase from Blumeria graminis f. sp. tritici and increases the resistance to Bgt in wheat.,1,BPH,OsPAL8,次生代谢与挥发性防御;韧皮部取食界面与结构防御
33620311,2021,eLife,Three-dimensional reconstruction of a whole insect reveals its phloem sap-sucking mechanism at nano-resolution.,1,BPH,,韧皮部取食界面与结构防御
33514014,2021,"Molecules (Basel, Switzerland)",Unraveling the Roles of Vascular Proteins Using Proteomics.,1,BPH,,韧皮部取食界面与结构防御
32937908,2020,"Plants (Basel, Switzerland)",Recent Strategies for Detection and Improvement of Brown Planthopper Resistance Genes in Rice: A Review.,39,BPH,Bph4;Bph3;Bph5;Bph7;GNA;Bph1;Bph2;Bph17;OsLecRK;OsLecRK1;OsLecRK1-OsLecRK3;OsLecRK2;OsLecRK3;OsLecRK4.Further;Bph25;Bph26;Bph30;Bph32;Bph8;Bph9,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
33154527,2020,Scientific reports,Identification and analysis of miRNAs in IR56 rice in response to BPH infestations of different virulence levels.,31,BPH,Bph3;OsLecRK1-4;OsGID1;OsLecRK3;OsLecRK4,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署
32903256,2020,PloS one,Comparative iTRAQ proteomic profiling of proteins associated with the adaptation of brown planthopper to moderately resistant vs. susceptible rice varieties.,27,BPH,Bph15,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
32041548,2020,BMC genomics,A combined microRNA and transcriptome analyses illuminates the resistance response of rice against brown planthopper.,17,BPH,Bph6G;Bph6;OsTCP21;Bph15;Bph1,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
32882811,2020,Insects,"Proteomics of the Honeydew from the Brown Planthopper and Green Rice Leafhopper Reveal They Are Rich in Proteins from Insects, Rice Plant and Bacteria.",17,BPH,,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
33182659,2020,"Plants (Basel, Switzerland)",Overexpression of a Cytosolic 6-Phosphogluconate Dehydrogenase Gene Enhances the Resistance of Rice to Nilaparvata lugens.,17,BPH,Os6PGDH1;Os6PGDH1-F1;Os6PGDH1-R1;Os6PGDH,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
32532001,2020,International journal of molecular sciences,The Desaturase Gene Nlug-desatA2 Regulates the Performance of the Brown Planthopper Nilaparvata lugens and Its Relationship with Rice.,16,BPH,,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控
33009432,2020,Scientific reports,"Cry1C rice doesn't affect the ecological fitness of rice brown planthopper, Nilaparvata lugens either under RDV stress or not.",11,BPH;SBPH;WBPH,,次生代谢与挥发性防御;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
33066559,2020,Vaccines,Multiple Genome Wide Association Mapping Models Identify Quantitative Trait Nucleotides for Brown Planthopper (Nilaparvata lugens) Resistance in MAGIC Indica Population of Rice.,11,BPH;SBPH;WBPH,Osa1,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
32973857,2020,Frontiers in plant science,Salivary Protein 1 of Brown Planthopper Is Required for Survival and Induces Immunity Response in Plants.,11,BPH,,宿主免疫、肽信号与昆虫效应子
33329069,2020,Frontiers in physiology,The Amino Acid-Mediated TOR Pathway Regulates Reproductive Potential and Population Growth in Cyrtorhinus lividipennis Reuter (Hemiptera: Miridae).,10,BPH,,生长防御权衡与农艺环境
32238850,2020,Scientific reports,Rice phenolamindes reduce the survival of female adults of the white-backed planthopper Sogatella furcifera.,9,BPH;WBPH,,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境
33022691,2020,PloS one,Intraspecific competition counters the effects of elevated and optimal temperatures on phloem-feeding insects in tropical and temperate rice.,8,BPH;WBPH,,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
33612910,2020,Functional ecology,Positive and negative interspecific interactions between coexisting rice planthoppers neutralise the effects of elevated temperatures.,8,BPH;WBPH,,次生代谢与挥发性防御;韧皮部取食界面与结构防御
32778222,2020,eLife,Caterpillar-induced rice volatiles provide enemy-free space for the offspring of the brown planthopper.,7,BPH,,次生代谢与挥发性防御;生长防御权衡与农艺环境
32603337,2020,PloS one,Temperature-dependent oviposition and nymph performance reveal distinct thermal niches of coexisting planthoppers with similar thresholds for development.,6,BPH;SBPH;WBPH,,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
32418333,2020,Pest management science,The control of the brown planthopper by the rice Bph14 gene is affected by nitrogen.,5,BPH,Bph14,生长防御权衡与农艺环境;韧皮部取食界面与结构防御
33041875,2020,Frontiers in physiology,Frizzled 2 Functions in the Regulation of TOR-Mediated Embryonic Development and Fecundity in Cyrtorhinus lividipennis Reuter.,5,BPH,,生长防御权衡与农艺环境
31848246,2020,Proceedings of the National Academy of Sciences of the United States of America,An R2R3 MYB transcription factor confers brown planthopper resistance by regulating the phenylalanine ammonia-lyase pathway in rice.,4,BPH,OsPAL8;OsPALs,次生代谢与挥发性防御
32472217,2020,"Rice (New York, N.Y.)",Marker Assisted Forward Breeding to Combine Multiple Biotic-Abiotic Stress Resistance/Tolerance in Rice.,4,BPH,,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
32082181,2020,Frontiers in physiology,"NlATG1 Gene Participates in Regulating Autophagy and Fission of Mitochondria in the Brown Planthopper, Nilaparvata lugens.",3,BPH,,遗传定位、克隆与抗源部署
32415213,2020,Scientific reports,Interactions between brown planthopper (Nilaparvata lugens) and salinity stressed rice (Oryza sativa) plant are cultivar-specific.,3,BPH,,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
32807078,2020,BMC genomics,Comparative analysis of diet-associated responses in two rice planthopper species.,3,BPH;SBPH,,生长防御权衡与农艺环境
31902971,2020,"Crop protection (Guildford, Surrey)",Changes in insecticide resistance and host range performance of planthoppers artificially selected to feed on resistant rice.,2,BPH,Bph3;Bph4,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
32868819,2020,Scientific reports,Application of Pedimap: a pedigree visualization tool to facilitate the decisioning of rice breeding in Sri Lanka.,2,BPH,,生长防御权衡与农艺环境
31915875,2020,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Genomic Breeding of Green Super Rice Varieties and Their Deployment in Asia and Africa.,2,BPH,Bph38;Bph1;Bph14;Bph15,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
33193678,2020,Frontiers in genetics,A Mechanosensory Receptor TMC Regulates Ovary Development in the Brown Planthopper Nilaparvata lugens.,2,BPH,,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境
32500500,2020,Environmental science and pollution research international,An update of the Worldwide Integrated Assessment (WIA) on systemic pesticides. Part 4: Alternatives in major cropping systems.,2,BPH,,生长防御权衡与农艺环境
34692142,2020,National science review,"Ultrabithorax is a key regulator for the dimorphism of wings, a main cause for the outbreak of planthoppers in rice.",2,BPH,,宿主免疫、肽信号与昆虫效应子
32926594,2020,Pest management science,Status and outlook for acaricide and insecticide discovery.,2,BPH;WBPH,,
32542992,2020,Journal of integrative plant biology,Deficiency of mitochondrial outer membrane protein 64 confers rice resistance to both piercing-sucking and chewing insects in rice.,2,BPH,OM64,生长防御权衡与农艺环境
32353929,2020,"Molecules (Basel, Switzerland)","Physicochemical Properties and Bioactivity of a New Guar Gum-Based Film Incorporated with Citral to Brown Planthopper, Nilaparvata lugens (Stål) (Hemiptera: Delphacidae).",2,BPH,,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;韧皮部取食界面与结构防御
33240330,2020,Frontiers in genetics,"Functional Analysis of Nuclear Factor Y in the Wing-Dimorphic Brown Planthopper, Nilaparvata lugens (Hemiptera: Delphacidae).",2,BPH,,
33072154,2020,Frontiers in plant science,Potential of Platinum Standard Reference Genomes to Exploit Natural Variation in the Wild Relatives of Rice.,1,BPH;WBPH,,遗传定位、克隆与抗源部署
32293284,2020,BMC plant biology,Wide crossing diversify mitogenomes of rice.,1,,Bph14;Bph15,生长防御权衡与农艺环境
32093357,2020,Nutrients,Hexane Insoluble Fraction from Purple Rice Extract Retards Carcinogenesis and Castration-Resistant Cancer Growth of Prostate Through Suppression of Androgen Receptor Mediated Cell Proliferation and Metabolism.,1,BPH,,宿主免疫、肽信号与昆虫效应子
32778975,2020,Biochemical genetics,Genome-Wide Investigation and Expression Profiling Under Abiotic Stresses of a Soybean Unknown Function (DUF21) and Cystathionine-β-Synthase (CBS) Domain-Containing Protein Family.,1,BPH,OsBi1,
32670342,2020,Frontiers in plant science,BSA-Seq Discovery and Functional Analysis of Candidate Hessian Fly (Mayetiola destructor) Avirulence Genes.,1,BPH,Bph1,宿主免疫、肽信号与昆虫效应子
32184449,2020,Scientific reports,Genome-wide transcriptome profile of rice hybrids with and without Oryza rufipogon introgression reveals candidate genes for yield.,1,BPH,OsPAL6;OsPAL8,次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
32853293,2020,PloS one,Changes in reflectance of rice seedlings during planthopper feeding as detected by digital camera: Potential applications for high-throughput phenotyping.,1,BPH;WBPH,Bph1;Bph18;Bph2;Bph25;Bph26,
32655612,2020,Frontiers in genetics,Barnyard Millet for Food and Nutritional Security: Current Status and Future Research Direction.,1,BPH,,生长防御权衡与农艺环境
33171821,2020,Biology,"Antimicrobial Activity of Chrysoeriol 7 and Chochlioquinone 9, White-Backed Planthopper-Resistant Compounds, Against Rice Pathogenic Strains.",1,BPH;SBPH;WBPH,,生长防御权衡与农艺环境
32213388,2020,Chemosphere,The antibiotic jinggangmycin increases brown planthopper (BPH) fecundity by enhancing rice plant sugar concentrations and BPH insulin-like signaling.,1,BPH,,
32971164,2020,International journal of biological macromolecules,Comparative transcriptome analysis of defense response of rice to Nilaparvata lugens and Chilo suppressalis infestation.,1,BPH,,
33371331,2020,International journal of molecular sciences,"Identification and Analysis of MicroRNAs Associated with Wing Polyphenism in the Brown Planthopper, Nilaparvata lugens.",1,BPH,,
32074964,2020,International journal of molecular sciences,Pyramiding Bacterial Blight Resistance Genes in Tainung82 for Broad-Spectrum Resistance Using Marker-Assisted Selection.,1,BPH,Bph3,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
32932648,2020,Genes,Identification and Characterization of Three Heat Shock Protein 90 (Hsp90) Homologs in the Brown Planthopper.,1,BPH,,
32040676,2020,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Fine mapping and gene cloning in the post-NGS era: advances and prospects.,1,BPH,Bph29,遗传定位、克隆与抗源部署
32370222,2020,Insects,"Transcriptional Response of ATP-Binding Cassette (ABC) Transporters to Insecticide in the Brown Planthopper, Nilaparvata lugens (Stål).",1,BPH,,
32039052,2020,Frontiers in cellular and infection microbiology,Gene Expression in the Salivary Gland of Rhipicephalus (Boophilus) microplus Fed on Tick-Susceptible and Tick-Resistant Hosts.,1,BPH,,宿主免疫、肽信号与昆虫效应子
32316208,2020,"Plants (Basel, Switzerland)","Genome-Wide Identification, Expression Analysis and Functional Study of CCT Gene Family in Medicago truncatula.",1,BPH,,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控
32545786,2020,International journal of molecular sciences,Pleiotropic Functions of FoxN1: Regulating Different Target Genes during Embryogenesis and Nymph Molting in the Brown Planthopper.,1,BPH,,
32211240,2020,PeerJ,Identification of WRKY gene family and characterization of cold stress-responsive WRKY genes in eggplant.,1,BPH,Bph14,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
32866183,2020,PLoS pathogens,Rice stripe virus suppresses jasmonic acid-mediated resistance by hijacking brassinosteroid signaling pathway in rice.,1,BPH,,激素、氧化还原与信号调控;病毒-媒介-水稻三方互作
